year,exports_percent_gdp
1985,
1986,6.62253929883139
1987,6.0014283728223
1988,3.94529822568093
1989,23.8493577901968
1990,36.0386136391372
1991,30.9150393380004
1992,34.7455958184055
1993,28.7227826669423
1994,34.0131286444039
1995,32.8128553339566
1996,40.8684874244585
1997,43.1027067530124
1998,44.8483033762953
1999,49.9662459731661
2000,53.9214970089166
2001,55.0619332820827
2002,54.7391336880928
2003,56.6732579147533
2004,59.7310414143857
2005,63.6994926701393
2006,67.7168143260187
2007,70.517874602272
2008,70.3366919402715
2009,62.6088840664865
2010,54.1758459668515
2011,61.1801557211956
2012,63.4739249038633
2013,66.8004459919109
2014,69.5985759502054
2015,72.9228518369495
2016,74.1072862556183
2017,81.7625218355655
2018,84.4234560833365
2019,85.1575874073411
2020,84.381598008957
2021,93.8502071275575
2022,93.420129043511
2023,86.4674192371297
2024,90.1542210476659
2025,
